[],"Zucker would air empty podiums at trump rallies while other candidates were speaking elsewhere. Even today, there i… https://t.co/Ljiiu7EUXt",rakeshlobster,"New York, USA"
[],"RT @mrbromwich: Nice try, but the report is that Cohen simply corroborated and confirmed a narrative based on emails, texts, other document…",SuzyBlueLady,Tennessee 
[],"RT @JeffMerkley: No question about it: if the @BuzzFeedNews account is proven true, Trump committed a felony that demands his resignation o…",KamalaDraft,A Fight Worth Having
[],"RT @TheBeatWithAri: .@iamcardib is right about the Trump shutdown

- Former U.S. Senator @bobtorricelli https://t.co/JGSHXoPDGT",daffodil139,"Roseville, CA"
[],RT @voxdotcom: A new report says that Trump urged his team to violate the law and redirect Puerto Rico's disaster assistance money to Texas…,Laurie48168311,United States
[],"RT @JoaquinCastrotx: If the @BuzzFeed story is true, President Trump must resign or be impeached.",USCGmommyJudi,"Port Angeles, WA"
[],RT @LaylaAlisha11: New Poll shows seismic shift among Latino voters since shutdown –There’s a 19-pt swing in favor of Trump among Latino vo…,GroupHomepage,
[],"RT @Shakestweetz: So, Lindsey Graham is with Erdogan, Mike Pompeo's with North Korea, John Bolton is asking the Pentagon for plans to go to…",KimberlyBozman,United States
[],"RT @ABC: Speaker Nancy Pelosi on whether Pres. Trump's cancellation of congressional trip was ""retaliation"" for her suggestion to reschedul…",Stevielovmc27,Chicago
[],"RT @RepEscobar: There’s a crisis of leadership threatening democracy, and the border is being used as a bargaining chip. I’m asking my coll…",iamprogressive1,
